path,normalized_path,metric_id,score,passed,gold_value,extracted_value,reason,reasoning
$.properties.items,items,error_138134565843104,0.000000,false,,,,
$.properties.items.items.properties.nd_value,items.items.nd_value,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.d_dn_rhoa_value,items.items.d_dn_rhoa_value,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.d_dn_rhoa_error,items.items.d_dn_rhoa_error,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.d_dn_rac1_error,items.items.d_dn_rac1_error,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.d_error,items.items.d_error,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.nd_error,items.items.nd_error,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.d_value,items.items.d_value,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.kinetic_parameter,items.items.kinetic_parameter,string_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.d_dn_rac1_value,items.items.d_dn_rac1_value,number_exact,1.000000,true,,,both_null,
